id_odsp, team1, team2, team1_won, team2_won, location, team1_goals, team2_goals
6mfH2k3D/,Espanyol,Real Madrid,0,1,3,1,2
6mp16cai/,AC Milan,Udinese,0,1,3,1,1
6mp16cai/,Udinese,AC Milan,1,0,3,1,1
6mrzogtf/,Troyes,AS Nancy Lorraine,1,1,3,1,1
6mrzogtf/,AS Nancy Lorraine,Troyes,1,1,3,1,1
6NfovTK3/,Parma,Bologna,1,0,3,1,1
6NfovTK3/,Bologna,Parma,0,1,3,1,1
6NWI9Rn4/,Hannover 96,VfB Stuttgart,0,1,3,2,2
6NWI9Rn4/,VfB Stuttgart,Hannover 96,1,0,3,2,2
6PBUBgtR/,Sevilla,Elche,1,0,13,1,1
6PBUBgtR/,Elche,Sevilla,0,1,13,1,1
6Pi11ALA/,Everton,Cardiff,1,0,3,1,1
6Pi11ALA/,Cardiff,Everton,0,1,3,1,1
6PmLbV6O/,AS Monaco,Guingamp,1,1,3,1,1
6PmLbV6O/,Guingamp,AS Monaco,1,1,3,1,1
6PUoz3oE/,Montpellier,Marseille,1,0,3,2,1
6PUoz3oE/,Marseille,Montpellier,0,1,3,1,2
6qQcRjE6/,VfL Wolfsburg,Hannover 96,0,1,3,1,2
6qQcRjE6/,Hannover 96,VfL Wolfsburg,1,0,3,2,1
6qtEkrb8/,Celta Vigo,Real Valladolid,1,0,14,1,1
6qtEkrb8/,Real Valladolid,Celta Vigo,0,1,14,1,1
6RJ1yL0f/,Nurnberg,TSG Hoffenheim,1,0,3,3,1
6RJ1yL0f/,TSG Hoffenheim,Nurnberg,0,1,3,1,3
6RUYblvt/,Catania,Udinese,1,1,3,1,1
6RUYblvt/,Udinese,Catania,1,1,3,1,1
6RwCax1b/,Valencia,Rayo Vallecano,1,0,3,2,1
6RwCax1b/,Rayo Vallecano,Valencia,0,1,3,1,2
6TQFfVUl/,AC Ajaccio,Evian Thonon Gaillard,0,1,3,1,1
6TQFfVUl/,Evian Thonon Gaillard,AC Ajaccio,1,0,3,1,1
6TXmxJbF/,Montpellier,Brest,1,0,3,1,1
6TXmxJbF/,Brest,Montpellier,0,1,3,1,1
6weF38wc/,SC Freiburg,Hamburg SV,1,1,3,1,1
6weF38wc/,Hamburg SV,SC Freiburg,1,1,3,1,1
6wHM7kVt/,AS Roma,Parma,1,0,3,2,1
6wHM7kVt/,Parma,AS Roma,0,1,3,1,2
6XN5rtq0/,Deportivo La Coruna,Rayo Vallecano,1,1,3,1,1
6XN5rtq0/,Rayo Vallecano,Deportivo La Coruna,1,1,3,1,1
82DrH0kP/,Espanyol,Malaga,1,1,3,1,1
82DrH0kP/,Malaga,Espanyol,1,1,3,1,1
82gN5Tr3/,Catania,Torino,1,1,3,1,1
82gN5Tr3/,Torino,Catania,1,1,3,1,1
848i5FNt/,Nantes,Marseille,1,1,15,1,1
848i5FNt/,Marseille,Nantes,1,1,15,1,1
84KMUSi2/,West Brom,Chelsea,1,1,13,1,1
84KMUSi2/,Chelsea,West Brom,1,1,13,1,1
84raKiK5/,Nurnberg,VfL Wolfsburg,0,1,3,1,2
84raKiK5/,VfL Wolfsburg,Nurnberg,1,0,3,2,1
861Umku1/,Catania,Sassuolo,0,1,11,1,1
861Umku1/,Sassuolo,Catania,1,0,11,1,1
88BkPKsg/,Parma,Napoli,1,0,3,1,1
88BkPKsg/,Napoli,Parma,0,1,3,1,1
8bFEpooL/,Valenciennes,Sochaux,1,1,3,1,1
8bFEpooL/,Sochaux,Valenciennes,1,1,3,1,1
8bRCnPXk/,Celta Vigo,Espanyol,1,1,11,1,1
8bRCnPXk/,Espanyol,Celta Vigo,1,1,11,1,1
8Cda1iu7/,Fortuna Dusseldorf,Eintracht Frankfurt,0,1,9,1,1
8Cda1iu7/,Eintracht Frankfurt,Fortuna Dusseldorf,1,0,9,1,1
8CKCh66E/,Stoke City,Crystal Palace,0,1,3,1,1
8CKCh66E/,Crystal Palace,Stoke City,1,0,3,1,1
8CVbuv8m/,Paris Saint-Germain,Marseille,1,0,3,2,1
8CVbuv8m/,Marseille,Paris Saint-Germain,0,1,3,1,2
8dlc04Gd/,Hellas Verona,AC Milan,1,1,14,1,1
8dlc04Gd/,AC Milan,Hellas Verona,1,1,14,1,1
8dOUlyfd/,Montpellier,Stade de Reims,1,0,3,2,1
8dOUlyfd/,Stade de Reims,Montpellier,0,1,3,1,2
8dY0bQP9/,Borussia Dortmund,TSG Hoffenheim,1,0,3,2,1
8dY0bQP9/,TSG Hoffenheim,Borussia Dortmund,0,1,15,1,1
8dY0bQP9/,TSG Hoffenheim,Borussia Dortmund,0,1,3,1,2
8dY0bQP9/,Borussia Dortmund,TSG Hoffenheim,1,0,15,1,1
8E17rwZR/,VfB Stuttgart,SC Freiburg,1,0,3,2,1
8E17rwZR/,SC Freiburg,VfB Stuttgart,0,1,3,1,2
8hACqez7/,Valenciennes,Montpellier,0,1,3,1,2
8hACqez7/,Montpellier,Valenciennes,1,0,3,2,1
8hCJh47n/,Catania,AC Milan,0,1,3,1,1
8hCJh47n/,AC Milan,Catania,1,0,3,1,1
8hdD8wXq/,Empoli,Chievo Verona,1,1,3,1,1
8hdD8wXq/,Chievo Verona,Empoli,1,1,3,1,1
8hdm0hL1/,Sampdoria,Genoa,1,0,3,2,1
